Location,Cuisine Type,Type,Price (INR),Dish,Description
Race Course,French,Non-Vegetarian,775,Peking Duck,"Crispy duck served with pancakes, hoisin sauce, and sliced vegetables."
Thudiyalur,Chinese,Non-Vegetarian,1126,Grilled Fish,"Fish marinated in spices and grilled, served with a side of vegetables or salad."
Gandhipuram,French,Non-Vegetarian,760,Fish Amritsari,"Fish fillets coated in spiced gram flour and fried until crispy, a popular North Indian dish."
Saibaba Colony,Japanese,Non-Vegetarian,421,Chicken Pakora,"Chicken pieces coated in a spiced gram flour batter and deep-fried, served with chutney."
Peelamedu,Mexican,Non-Vegetarian,264,Biryani Rice,"A flavorful rice dish cooked with aromatic spices, perfect as a side or main dish."
Peelamedu,Italian,Non-Vegetarian,1593,Crab Cakes,Fried crab meat patties served with a tangy remoulade sauce.
Saibaba Colony,Chinese,Non-Vegetarian,1658,Pork Vindaloo,"A spicy Goan dish made with pork, vinegar, and a mix of spices, offering a delightful heat."
Saravanampatti,Italian,Non-Vegetarian,1510,Cajun Shrimp,"Shrimp seasoned with Cajun spices and sautéed, served with rice or pasta."
Race Course,Indian,Non-Vegetarian,1262,Buffalo Wings,Spicy chicken wings served with blue cheese dressing and celery sticks.
RS Puram,Japanese,Non-Vegetarian,665,Butter Chicken,"Juicy chicken cooked in a luscious butter and tomato gravy, served with naan or rice for a hearty meal."
RS Puram,Japanese,Non-Vegetarian,1165,Clam Chowder,"Creamy soup made with clams, potatoes, and seasonings, perfect with bread."
Saravanampatti,French,Non-Vegetarian,1389,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Peelamedu,Italian,Non-Vegetarian,1263,Chicken Schnitzel,"Breaded and fried chicken cutlets, typically served with a lemon wedge and salad."
Singanallur,Indian,Non-Vegetarian,1472,Grilled Lamb Chops,"Juicy lamb chops seasoned and grilled, served with mint sauce."
Thudiyalur,Chinese,Non-Vegetarian,899,Chicken Biryani,"A fragrant rice dish layered with marinated chicken, cooked with spices, and served with raita."
Gandhipuram,Mexican,Non-Vegetarian,1667,Chicken Tikka Masala,"Tender pieces of chicken marinated in yogurt and spices, cooked in a creamy tomato sauce that is rich and flavorful."
Singanallur,Chinese,Non-Vegetarian,1297,Pork Schnitzel,"Breaded pork cutlet fried until crispy, served with lemon and potatoes."
Saravanampatti,Japanese,Non-Vegetarian,466,Thai Red Curry Chicken,Chicken cooked in a rich coconut milk-based red curry with vegetables.
Saravanampatti,Thai,Non-Vegetarian,495,Fried Calamari,Crispy fried squid served with marinara sauce for dipping.
Race Course,Italian,Non-Vegetarian,250,Chicken Pot Pie,A creamy chicken and vegetable filling encased in a flaky pastry crust.
Peelamedu,Italian,Non-Vegetarian,401,Crab Cakes,Fried crab meat patties served with a tangy remoulade sauce.
Singanallur,Italian,Non-Vegetarian,1453,Beef Stroganoff,"Tender strips of beef cooked in a creamy mushroom sauce, served over noodles."
Gandhipuram,Thai,Non-Vegetarian,1633,Cajun Chicken Pasta,"Pasta tossed with spicy Cajun chicken, cream, and vegetables."
Thudiyalur,Indian,Non-Vegetarian,418,Coconut Shrimp,"Shrimp coated in coconut and fried until golden, served with sweet chili sauce."
Peelamedu,Indian,Non-Vegetarian,223,Szechuan Chicken,"Chicken stir-fried in a spicy Szechuan sauce, served with rice."
Saravanampatti,Thai,Non-Vegetarian,528,Pork Ribs,Tender ribs coated in barbecue sauce and grilled until smoky and flavorful.
Race Course,Italian,Non-Vegetarian,1196,Crab Rangoon,"Deep-fried dumplings filled with cream cheese and crab meat, served with sweet sauce."
Singanallur,Chinese,Non-Vegetarian,1198,Chicken Biryani,"A fragrant rice dish layered with marinated chicken, cooked with spices, and served with raita."
Peelamedu,Thai,Non-Vegetarian,1807,Tandoori Prawns,"Prawns marinated in yogurt and spices, grilled until charred and flavorful."
Coimbatore North,Indian,Non-Vegetarian,1241,Fish Curry,"A spicy and tangy curry made with fresh fish and a variety of spices, often served with rice."
Peelamedu,French,Non-Vegetarian,1629,Teriyaki Chicken,"Grilled chicken glazed with a sweet teriyaki sauce, served with rice and vegetables."
Saibaba Colony,French,Non-Vegetarian,553,Chicken Curry,Classic curry made with chicken simmered in a spicy and fragrant gravy.
Peelamedu,Chinese,Non-Vegetarian,892,Steak Frites,"Grilled steak served with crispy fries, a popular dish in many restaurants."
Peelamedu,Japanese,Non-Vegetarian,1142,Thai Red Curry Chicken,Chicken cooked in a rich coconut milk-based red curry with vegetables.
Race Course,Thai,Non-Vegetarian,1933,Seafood Paella,"A Spanish rice dish loaded with seafood and seasoned with saffron, perfect for sharing."
Race Course,Thai,Non-Vegetarian,1965,Fried Calamari,Crispy fried squid served with marinara sauce for dipping.
RS Puram,Mexican,Non-Vegetarian,1326,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Peelamedu,Indian,Non-Vegetarian,1311,Mango Chicken Curry,"A sweet and tangy curry made with chicken and ripe mangoes, served with rice."
Saravanampatti,Mexican,Non-Vegetarian,824,Duck Confit,"Slow-cooked duck leg served with crispy skin, often accompanied by potatoes or salad."
Gandhipuram,Italian,Non-Vegetarian,1892,Chicken Schnitzel,"Breaded and fried chicken cutlets, typically served with a lemon wedge and salad."
Gandhipuram,Italian,Non-Vegetarian,525,Chicken Fajitas,"Sizzling strips of chicken cooked with peppers and onions, served with tortillas."
Singanallur,Mexican,Non-Vegetarian,513,Pulled Pork Sandwich,Slow-cooked pork served on a bun with barbecue sauce and coleslaw.
Race Course,Italian,Non-Vegetarian,664,Spaghetti Carbonara,"Pasta tossed with eggs, cheese, pancetta, and pepper for a creamy Italian dish."
Saibaba Colony,French,Non-Vegetarian,1524,Chicken Curry,Classic curry made with chicken simmered in a spicy and fragrant gravy.
Peelamedu,Thai,Non-Vegetarian,1336,Malabar Fish Fry,"Fresh fish marinated in spices and fried until crispy, a delicious appetizer or side."
RS Puram,Mexican,Non-Vegetarian,1403,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Singanallur,Italian,Non-Vegetarian,666,Spaghetti Carbonara,"Pasta tossed with eggs, cheese, pancetta, and pepper for a creamy Italian dish."
Coimbatore North,Thai,Non-Vegetarian,1574,Malabar Fish Fry,"Fresh fish marinated in spices and fried until crispy, a delicious appetizer or side."
Gandhipuram,Mexican,Non-Vegetarian,1966,Mutton Biryani,"Layers of fragrant rice and marinated mutton, cooked together to create a rich and flavorful dish."
Thudiyalur,Chinese,Non-Vegetarian,1926,Chicken Biryani,"A fragrant rice dish layered with marinated chicken, cooked with spices, and served with raita."
Gandhipuram,Indian,Non-Vegetarian,1570,Beef Wellington,"Tender beef fillet coated in pâté and wrapped in pastry, baked to perfection."
Coimbatore North,Mexican,Non-Vegetarian,1512,Mutton Biryani,"Layers of fragrant rice and marinated mutton, cooked together to create a rich and flavorful dish."
Peelamedu,Mexican,Non-Vegetarian,652,Mutton Biryani,"Layers of fragrant rice and marinated mutton, cooked together to create a rich and flavorful dish."
Gandhipuram,Mexican,Non-Vegetarian,1560,Lamb Kebabs,"Ground lamb spiced and grilled on skewers, often served with flatbreads."
Race Course,Italian,Non-Vegetarian,1353,Chicken Alfredo,"Pasta tossed in a creamy Alfredo sauce with grilled chicken, a comforting Italian dish."
Saibaba Colony,Thai,Non-Vegetarian,1342,Chicken Shawarma,"Marinated chicken cooked on a spit, served in pita bread with vegetables and sauce."
Race Course,Thai,Non-Vegetarian,774,Malabar Fish Fry,"Fresh fish marinated in spices and fried until crispy, a delicious appetizer or side."
Peelamedu,Mexican,Non-Vegetarian,562,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Saibaba Colony,Indian,Non-Vegetarian,1768,Grilled Lamb Chops,"Juicy lamb chops seasoned and grilled, served with mint sauce."
Peelamedu,Chinese,Non-Vegetarian,508,Pork Schnitzel,"Breaded pork cutlet fried until crispy, served with lemon and potatoes."
Peelamedu,Mexican,Non-Vegetarian,714,Mutton Seekh Kebab,"Minced mutton spiced and shaped onto skewers, then grilled or baked."
Singanallur,Mexican,Non-Vegetarian,1871,Pork Chop,"Juicy pork chop seasoned and grilled, served with applesauce or gravy."
Saibaba Colony,Japanese,Non-Vegetarian,1445,Stuffed Chicken Breast,"Chicken breasts filled with cheese and herbs, baked until juicy."
Saravanampatti,Thai,Non-Vegetarian,543,Mutton Curry,"Slow-cooked mutton in a spiced gravy, served hot with steamed rice or bread."
Coimbatore North,Thai,Non-Vegetarian,1644,Chili Con Carne,"A hearty chili made with ground beef, beans, and spices, perfect for a filling meal."
Gandhipuram,Japanese,Non-Vegetarian,246,Spicy Chicken Wings,"Chicken wings marinated in spices and baked or fried until crispy, served with a tangy sauce."
RS Puram,Mexican,Non-Vegetarian,561,Pulled Pork Sandwich,Slow-cooked pork served on a bun with barbecue sauce and coleslaw.
Singanallur,Italian,Non-Vegetarian,1986,Chicken Alfredo,"Pasta tossed in a creamy Alfredo sauce with grilled chicken, a comforting Italian dish."
Peelamedu,Italian,Non-Vegetarian,1451,Spaghetti Carbonara,"Pasta tossed with eggs, cheese, pancetta, and pepper for a creamy Italian dish."
Peelamedu,Thai,Non-Vegetarian,1344,Fish Tikka,"Marinated fish cubes grilled until tender, served with mint chutney as a delightful appetizer."
Peelamedu,French,Non-Vegetarian,481,Tandoori Chicken,"Marinated chicken grilled in a clay oven, giving it a smoky flavor and served with mint chutney."
Gandhipuram,Indian,Non-Vegetarian,1010,Beef Wellington,"Tender beef fillet coated in pâté and wrapped in pastry, baked to perfection."
Peelamedu,Mexican,Non-Vegetarian,398,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Race Course,Thai,Non-Vegetarian,1134,Chili Con Carne,"A hearty chili made with ground beef, beans, and spices, perfect for a filling meal."
Peelamedu,Mexican,Non-Vegetarian,950,Pork Chop,"Juicy pork chop seasoned and grilled, served with applesauce or gravy."
RS Puram,Japanese,Non-Vegetarian,1863,Barbecue Chicken,"Grilled chicken slathered in barbecue sauce, served with coleslaw and cornbread."
Coimbatore North,Mexican,Non-Vegetarian,1707,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Race Course,Japanese,Non-Vegetarian,1757,Butter Chicken,"Juicy chicken cooked in a luscious butter and tomato gravy, served with naan or rice for a hearty meal."
Saibaba Colony,Indian,Non-Vegetarian,261,Roasted Duck,Duck seasoned and roasted until the skin is crispy and the meat is tender.
Thudiyalur,Japanese,Non-Vegetarian,1841,Chicken and Waffles,"A Southern classic with crispy fried chicken served over waffles, often with syrup."
Saibaba Colony,Indian,Non-Vegetarian,1093,Lobster Roll,"Tender lobster meat served in a buttered roll, a classic New England dish."
Peelamedu,Mexican,Non-Vegetarian,1575,Shrimp Scampi,"Shrimp sautéed in garlic and butter, often served with pasta or rice."
Saibaba Colony,Mexican,Non-Vegetarian,1736,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Race Course,Japanese,Non-Vegetarian,1538,Barbecue Chicken,"Grilled chicken slathered in barbecue sauce, served with coleslaw and cornbread."
Saibaba Colony,Thai,Non-Vegetarian,1663,Chicken Shawarma,"Marinated chicken cooked on a spit, served in pita bread with vegetables and sauce."
RS Puram,French,Non-Vegetarian,643,Bangers and Mash,"Sausages served with mashed potatoes and gravy, a classic British dish."
RS Puram,Mexican,Non-Vegetarian,1046,Mutton Biryani,"Layers of fragrant rice and marinated mutton, cooked together to create a rich and flavorful dish."
Peelamedu,Japanese,Non-Vegetarian,1303,Fish Tacos,"Tacos filled with grilled or fried fish, topped with cabbage and a creamy sauce."
Singanallur,Japanese,Non-Vegetarian,1682,Thai Red Curry Chicken,Chicken cooked in a rich coconut milk-based red curry with vegetables.
RS Puram,Indian,Non-Vegetarian,692,Coconut Shrimp,"Shrimp coated in coconut and fried until golden, served with sweet chili sauce."
Gandhipuram,Chinese,Non-Vegetarian,1293,Baked Ziti,"Pasta baked with marinara sauce and cheese, a comforting Italian dish."
Gandhipuram,Mexican,Non-Vegetarian,1598,Chicken Quesadilla,"Tortillas filled with cheese and chicken, grilled until crispy and served with salsa."
Thudiyalur,Thai,Non-Vegetarian,297,Fried Calamari,Crispy fried squid served with marinara sauce for dipping.
Singanallur,Thai,Non-Vegetarian,1389,Fish Tikka,"Marinated fish cubes grilled until tender, served with mint chutney as a delightful appetizer."
Coimbatore North,Chinese,Non-Vegetarian,253,Chicken Biryani,"A fragrant rice dish layered with marinated chicken, cooked with spices, and served with raita."
Race Course,Japanese,Non-Vegetarian,482,Butter Chicken,"Juicy chicken cooked in a luscious butter and tomato gravy, served with naan or rice for a hearty meal."
Coimbatore North,Indian,Non-Vegetarian,863,Sausage and Peppers,"Italian sausage sautéed with bell peppers and onions, served in a sub or over rice."
RS Puram,Japanese,Non-Vegetarian,1383,Barbecue Chicken,"Grilled chicken slathered in barbecue sauce, served with coleslaw and cornbread."
Thudiyalur,Japanese,Non-Vegetarian,277,Chicken Chettinad,"A spicy chicken curry from Tamil Nadu, made with roasted spices and coconut."
Saibaba Colony,Indian,Non-Vegetarian,1643,Sausage and Peppers,"Italian sausage sautéed with bell peppers and onions, served in a sub or over rice."
Gandhipuram,Indian,Non-Vegetarian,1111,Beef Wellington,"Tender beef fillet coated in pâté and wrapped in pastry, baked to perfection."
Race Course,French,Non-Vegetarian,709,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Peelamedu,Thai,Non-Vegetarian,803,Cajun Chicken Pasta,"Pasta tossed with spicy Cajun chicken, cream, and vegetables."
RS Puram,Italian,Non-Vegetarian,715,Crab Cakes,Fried crab meat patties served with a tangy remoulade sauce.
Coimbatore North,Mexican,Non-Vegetarian,858,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Peelamedu,Thai,Non-Vegetarian,833,Fish Tikka,"Marinated fish cubes grilled until tender, served with mint chutney as a delightful appetizer."
RS Puram,French,Non-Vegetarian,1489,Tandoori Chicken,"Marinated chicken grilled in a clay oven, giving it a smoky flavor and served with mint chutney."
Peelamedu,French,Non-Vegetarian,1015,Seafood Gumbo,"A hearty stew made with shrimp, crab, and sausage, thickened with okra."
RS Puram,Indian,Non-Vegetarian,330,Coconut Shrimp,"Shrimp coated in coconut and fried until golden, served with sweet chili sauce."
RS Puram,French,Non-Vegetarian,597,Chicken Curry,Classic curry made with chicken simmered in a spicy and fragrant gravy.
Peelamedu,Japanese,Non-Vegetarian,652,Stuffed Chicken Breast,"Chicken breasts filled with cheese and herbs, baked until juicy."
Thudiyalur,French,Non-Vegetarian,1511,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Race Course,Chinese,Non-Vegetarian,314,Pork Schnitzel,"Breaded pork cutlet fried until crispy, served with lemon and potatoes."
Coimbatore North,Thai,Non-Vegetarian,1364,Pork Ribs,Tender ribs coated in barbecue sauce and grilled until smoky and flavorful.
Gandhipuram,Indian,Non-Vegetarian,776,Lobster Roll,"Tender lobster meat served in a buttered roll, a classic New England dish."
Race Course,Japanese,Non-Vegetarian,1467,Butter Chicken,"Juicy chicken cooked in a luscious butter and tomato gravy, served with naan or rice for a hearty meal."
Peelamedu,Mexican,Non-Vegetarian,991,Fish and Chips,"Deep-fried fish served with crispy fries, a British pub classic."
Coimbatore North,Italian,Non-Vegetarian,739,Grilled Octopus,"Tender octopus marinated and grilled, served with a drizzle of olive oil."
Gandhipuram,Italian,Non-Vegetarian,620,Cajun Shrimp,"Shrimp seasoned with Cajun spices and sautéed, served with rice or pasta."
Race Course,Japanese,Non-Vegetarian,1306,Chicken Chettinad,"A spicy chicken curry from Tamil Nadu, made with roasted spices and coconut."
RS Puram,Indian,Non-Vegetarian,327,Fish Curry,"A spicy and tangy curry made with fresh fish and a variety of spices, often served with rice."
Saibaba Colony,French,Non-Vegetarian,781,Tandoori Chicken,"Marinated chicken grilled in a clay oven, giving it a smoky flavor and served with mint chutney."
Saravanampatti,Japanese,Non-Vegetarian,1372,Stuffed Chicken Breast,"Chicken breasts filled with cheese and herbs, baked until juicy."
Race Course,Thai,Non-Vegetarian,1528,Seafood Paella,"A Spanish rice dish loaded with seafood and seasoned with saffron, perfect for sharing."
Singanallur,Italian,Non-Vegetarian,901,Spicy Tuna Roll,"Sushi roll filled with spicy tuna, cucumber, and avocado."
Gandhipuram,Chinese,Non-Vegetarian,1916,Pork Schnitzel,"Breaded pork cutlet fried until crispy, served with lemon and potatoes."
Thudiyalur,Thai,Non-Vegetarian,1481,Fried Calamari,Crispy fried squid served with marinara sauce for dipping.
Saibaba Colony,Indian,Non-Vegetarian,1662,Teriyaki Salmon,"Grilled salmon glazed with teriyaki sauce, served with rice and steamed vegetables."
Thudiyalur,Italian,Non-Vegetarian,472,Cajun Shrimp,"Shrimp seasoned with Cajun spices and sautéed, served with rice or pasta."
Peelamedu,Japanese,Non-Vegetarian,1206,Thai Red Curry Chicken,Chicken cooked in a rich coconut milk-based red curry with vegetables.
RS Puram,Mexican,Non-Vegetarian,392,Duck Confit,"Slow-cooked duck leg served with crispy skin, often accompanied by potatoes or salad."
Saravanampatti,Italian,Non-Vegetarian,986,Beef Stroganoff,"Tender strips of beef cooked in a creamy mushroom sauce, served over noodles."
Singanallur,Chinese,Non-Vegetarian,1658,Steak Frites,"Grilled steak served with crispy fries, a popular dish in many restaurants."
Gandhipuram,Indian,Non-Vegetarian,302,Mango Chicken Curry,"A sweet and tangy curry made with chicken and ripe mangoes, served with rice."
Thudiyalur,Indian,Non-Vegetarian,1214,Mango Chicken Curry,"A sweet and tangy curry made with chicken and ripe mangoes, served with rice."
RS Puram,French,Non-Vegetarian,1182,Bangers and Mash,"Sausages served with mashed potatoes and gravy, a classic British dish."
Gandhipuram,Japanese,Non-Vegetarian,507,Chicken Pakora,"Chicken pieces coated in a spiced gram flour batter and deep-fried, served with chutney."
Saibaba Colony,Mexican,Non-Vegetarian,1648,Lamb Rogan Josh,"A traditional Kashmiri dish where tender lamb is simmered in a spicy tomato-based gravy, full of aromatic spices."
Gandhipuram,Italian,Non-Vegetarian,1937,Spicy Tuna Roll,"Sushi roll filled with spicy tuna, cucumber, and avocado."
Peelamedu,Mexican,Non-Vegetarian,404,Chicken Tikka Masala,"Tender pieces of chicken marinated in yogurt and spices, cooked in a creamy tomato sauce that is rich and flavorful."
Race Course,Thai,Non-Vegetarian,541,Keema Mutton,"Minced mutton cooked with peas and spices, often enjoyed with roti or naan."
Coimbatore North,Indian,Non-Vegetarian,1422,Beef Wellington,"Tender beef fillet coated in pâté and wrapped in pastry, baked to perfection."
Saibaba Colony,French,Non-Vegetarian,890,Peking Duck,"Crispy duck served with pancakes, hoisin sauce, and sliced vegetables."
Coimbatore North,Japanese,Non-Vegetarian,1371,Chicken and Waffles,"A Southern classic with crispy fried chicken served over waffles, often with syrup."
Peelamedu,French,Non-Vegetarian,1881,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Thudiyalur,Thai,Non-Vegetarian,1028,Pork Ribs,Tender ribs coated in barbecue sauce and grilled until smoky and flavorful.
Singanallur,Chinese,Non-Vegetarian,747,Pork Vindaloo,"A spicy Goan dish made with pork, vinegar, and a mix of spices, offering a delightful heat."
Gandhipuram,Thai,Non-Vegetarian,1713,Cajun Chicken Pasta,"Pasta tossed with spicy Cajun chicken, cream, and vegetables."
Saravanampatti,Chinese,Non-Vegetarian,1988,Grilled Fish,"Fish marinated in spices and grilled, served with a side of vegetables or salad."
Peelamedu,Indian,Non-Vegetarian,613,Coconut Shrimp,"Shrimp coated in coconut and fried until golden, served with sweet chili sauce."
RS Puram,Japanese,Non-Vegetarian,432,Chicken Chettinad,"A spicy chicken curry from Tamil Nadu, made with roasted spices and coconut."
Saibaba Colony,Mexican,Non-Vegetarian,1515,Chicken Tikka Masala,"Tender pieces of chicken marinated in yogurt and spices, cooked in a creamy tomato sauce that is rich and flavorful."
Race Course,Italian,Non-Vegetarian,1974,Chicken Alfredo,"Pasta tossed in a creamy Alfredo sauce with grilled chicken, a comforting Italian dish."
Peelamedu,Chinese,Non-Vegetarian,449,Grilled Fish,"Fish marinated in spices and grilled, served with a side of vegetables or salad."
Gandhipuram,Italian,Non-Vegetarian,1044,Prawn Masala,"Succulent prawns cooked in a rich coconut and spice blend, perfect with rice or chapati."
Saibaba Colony,Indian,Non-Vegetarian,1944,Lobster Roll,"Tender lobster meat served in a buttered roll, a classic New England dish."
Coimbatore North,Italian,Non-Vegetarian,954,Prawn Masala,"Succulent prawns cooked in a rich coconut and spice blend, perfect with rice or chapati."
RS Puram,Japanese,Non-Vegetarian,456,Goat Curry,"Tender pieces of goat meat slow-cooked in a spiced gravy, often served with naan or rice."
RS Puram,French,Non-Vegetarian,1110,Fish Amritsari,"Fish fillets coated in spiced gram flour and fried until crispy, a popular North Indian dish."
Race Course,Italian,Non-Vegetarian,297,Beef Stroganoff,"Tender strips of beef cooked in a creamy mushroom sauce, served over noodles."
Saravanampatti,Chinese,Non-Vegetarian,1905,Grilled Fish,"Fish marinated in spices and grilled, served with a side of vegetables or salad."
Singanallur,Thai,Non-Vegetarian,985,Seafood Paella,"A Spanish rice dish loaded with seafood and seasoned with saffron, perfect for sharing."
Peelamedu,Indian,Non-Vegetarian,361,Grilled Lamb Chops,"Juicy lamb chops seasoned and grilled, served with mint sauce."
Thudiyalur,French,Non-Vegetarian,798,Chicken Curry,Classic curry made with chicken simmered in a spicy and fragrant gravy.
Saibaba Colony,Japanese,Non-Vegetarian,740,Barbecue Chicken,"Grilled chicken slathered in barbecue sauce, served with coleslaw and cornbread."
Peelamedu,Mexican,Non-Vegetarian,1404,Chicken Quesadilla,"Tortillas filled with cheese and chicken, grilled until crispy and served with salsa."
Thudiyalur,Italian,Non-Vegetarian,1083,Chicken Schnitzel,"Breaded and fried chicken cutlets, typically served with a lemon wedge and salad."
Gandhipuram,French,Non-Vegetarian,647,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Race Course,Thai,Non-Vegetarian,862,Chili Con Carne,"A hearty chili made with ground beef, beans, and spices, perfect for a filling meal."
Gandhipuram,Indian,Non-Vegetarian,1278,Coconut Shrimp,"Shrimp coated in coconut and fried until golden, served with sweet chili sauce."
Saravanampatti,French,Non-Vegetarian,917,Fish Amritsari,"Fish fillets coated in spiced gram flour and fried until crispy, a popular North Indian dish."
Saibaba Colony,Japanese,Non-Vegetarian,1459,Spicy Chicken Wings,"Chicken wings marinated in spices and baked or fried until crispy, served with a tangy sauce."
Saibaba Colony,Mexican,Non-Vegetarian,1647,Mutton Biryani,"Layers of fragrant rice and marinated mutton, cooked together to create a rich and flavorful dish."
Gandhipuram,Italian,Non-Vegetarian,765,Cajun Shrimp,"Shrimp seasoned with Cajun spices and sautéed, served with rice or pasta."
Singanallur,Chinese,Non-Vegetarian,433,Chicken Biryani,"A fragrant rice dish layered with marinated chicken, cooked with spices, and served with raita."
Saravanampatti,Thai,Non-Vegetarian,1971,Pork Ribs,Tender ribs coated in barbecue sauce and grilled until smoky and flavorful.
Singanallur,Indian,Non-Vegetarian,1801,Szechuan Chicken,"Chicken stir-fried in a spicy Szechuan sauce, served with rice."
Peelamedu,French,Non-Vegetarian,1955,Chicken Korma,"Chicken pieces cooked in a creamy sauce with yogurt, nuts, and spices, a classic Mughlai dish."
Coimbatore North,Japanese,Non-Vegetarian,629,Egg Curry,"Hard-boiled eggs cooked in a spicy and tangy gravy, often enjoyed with rice or bread."
Singanallur,Mexican,Non-Vegetarian,1383,Pulled Pork Sandwich,Slow-cooked pork served on a bun with barbecue sauce and coleslaw.
Coimbatore North,Italian,Non-Vegetarian,1188,Prawn Masala,"Succulent prawns cooked in a rich coconut and spice blend, perfect with rice or chapati."
